Schicht,Maschinen-ID,Produktionslinie,Betreiber,Kommentar,Cluster,Topic,Keywords
Schicht1,M01,Linie1,Lisa Fischer,"Die Maschine arbeitete optimal, alle Parameter waren im grünen Bereich.",3,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M02,Linie2,Tobias Schulz,"Häufige Kalibrierungen waren notwendig, was die Effizienz reduzierte.",4,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M03,Linie3,Anna Braun,Die Qualität der produzierten Teile war überdurchschnittlich hoch.,0,1,1_qualität_hoch_teile_ausschuss
Schicht2,M04,Linie1,Frank Bauer,Ein unerwarteter Stillstand aufgrund eines Softwarefehlers trat auf.,2,0,0_produktion_maschine_aufgrund_umstellung
Schicht2,M05,Linie2,Emma Weber,"Die Maschinen liefen stabil, jedoch gab es einen erhöhten Materialverbrauch.",3,0,0_produktion_maschine_aufgrund_umstellung
Schicht2,M06,Linie3,Karl Wagner,Die Produktion musste aufgrund eines Defekts gestoppt werden.,2,0,0_produktion_maschine_aufgrund_umstellung
Schicht3,M07,Linie1,Laura Klein,"Positive Rückmeldungen zur Qualität, alles verlief reibungslos.",3,-1,-1_effizienz_maschine_wurde_positiv
Schicht3,M08,Linie2,Maximilian Wagner,Die Umstellung auf den neuen Produktionsprozess war ein Erfolg.,4,0,0_produktion_maschine_aufgrund_umstellung
Schicht3,M09,Linie3,Noah Becker,Ein Elektroschaden hat die Produktion zeitweise gestört.,2,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M10,Linie1,Lucas Klein,Die Maschine zeigte mehr Vibrationen als gewöhnlich.,3,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M11,Linie2,Lukas Müller,Ein Materialmangel führte zu einem Rückstau in der Produktion.,2,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M12,Linie3,Sarah Krause,"Kurze Unterbrechungen waren vom System verursacht, insgesamt jedoch stabil.",1,0,0_produktion_maschine_aufgrund_umstellung
Schicht2,M13,Linie1,Clara Wagner,Die Fertigung lief über die gesamte Schicht hinweg ohne Probleme.,3,0,0_produktion_maschine_aufgrund_umstellung
Schicht2,M14,Linie2,Leon Huber,Ein schneller Software-Update hat die Maschinenleistung verbessert.,2,-1,-1_effizienz_maschine_wurde_positiv
Schicht2,M15,Linie3,Julia Lehmann,"Der Ausschuss war hoch, vermutlich aufgrund von Materialfehlern.",2,0,0_produktion_maschine_aufgrund_umstellung
Schicht3,M16,Linie1,Karl Wagner,"Effizienter Betrieb während der gesamten Schicht, keine nennenswerten Vorfälle.",4,0,0_produktion_maschine_aufgrund_umstellung
Schicht3,M17,Linie2,Tobias Schulz,Die Produktionsqualität hat sich trotz höherem Ausschuss stabil gehalten.,0,1,1_qualität_hoch_teile_ausschuss
Schicht3,M18,Linie3,Sophie Neumann,Durch eine technische Störung gab es eine Verzögerung beim Produktionsstart.,2,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M19,Linie1,Paul Becker,Die Reinigungsprozesse waren umfangreicher als gewöhnlich.,4,-1,-1_effizienz_maschine_wurde_positiv
Schicht1,M20,Linie2,Anna Schmidt,Stabiler Arbeitsablauf mit minimalen Abweichungen in der Produktion.,4,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M21,Linie3,Max Müller,Der Maschinenpark sollte aufgrund des Alters bald modernisiert werden.,2,0,0_produktion_maschine_aufgrund_umstellung
Schicht2,M22,Linie1,Julius Klein,Die Umstellungen der Maschinenparameter verliefen erfolgreich.,3,0,0_produktion_maschine_aufgrund_umstellung
Schicht2,M23,Linie2,Maria Müller,"Ein Anstieg der Produzierbarkeit wurde festgestellt, sehr positiv.",1,-1,-1_effizienz_maschine_wurde_positiv
Schicht2,M24,Linie3,Lisa Huber,"Regelmäßige Wartung hat dazu beigetragen, Störungen zu minimieren.",4,0,0_produktion_maschine_aufgrund_umstellung
Schicht3,M25,Linie1,Frank Bauer,Ein unerwarteter Materialmangel hat die Produktion beeinträchtigt.,2,0,0_produktion_maschine_aufgrund_umstellung
Schicht3,M26,Linie2,Emma Fischer,"Der Ausschuss war extrem niedrig, eine hervorragende Leistung.",5,1,1_qualität_hoch_teile_ausschuss
Schicht3,M27,Linie3,Clara Welke,"Die Maschine benötigte zusätzliche Kalibrierungen, was Zeit in Anspruch nahm.",3,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M28,Linie1,Sophie Huber,"Technische Details sollten besser dokumentiert werden, um zukünftige Probleme zu vermeiden.",4,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M29,Linie2,Lukas Meyer,Unregelmäßigkeiten bei der Maschinentechnik erforderten sofortige Aufmerksamkeit.,2,0,0_produktion_maschine_aufgrund_umstellung
Schicht1,M30,Linie3,Sarah Müller,Die gesamte Produktionslinie war effizient und gut koordiniert.,5,-1,-1_effizienz_maschine_wurde_positiv
Schicht2,M31,Linie1,Noah Becker,Die Qualität der gefertigten Teile war insgesamt sehr gut.,0,1,1_qualität_hoch_teile_ausschuss
Schicht2,M32,Linie2,Lisa Neumann,Die Umstellung auf ein neues Material begegnete unerwarteten Schwierigkeiten.,3,0,0_produktion_maschine_aufgrund_umstellung
Schicht2,M33,Linie3,Paul Schulz,Die Maschine hatte einen unregelmäßigen Produktionsfluss.,4,0,0_produktion_maschine_aufgrund_umstellung
